Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Eddie Banuelos,Hard Knocks,0.5,2,6,1,3,0,0,0,0,1,1,0,1,0,0,3,0.571,0.5,3,7,0.5384351415861024,2.369449058363379,1.0604829840499699,180.7958741481352,0.029296424452133818,1.0897794085021038,0.3091586867305061,1.3989380952326098,0.10558295881627566
Ryan Stevens,Legends,0.255,14,47,9,12,3,0,0,6,11,17,1,4,0,0,15,0.407,0.319,9,59,0.39044344906000034,9.898477026269608,-1.1342370286576946,89.6098080782551,-0.0961937716262975,-1.230430800283992,2.605766073871409,1.375335273587417,0.10380156780676288
Brandon Evans,Legends,0.667,1,3,0,2,1,0,0,1,0,1,0,0,0,0,3,0.667,1.0,1,3,0.7768688712764308,1.840643380016538,1.2796579195965057,327.70840320780184,-0.04267589388696655,1.2369820257095392,0.13249658002735976,1.3694786057368988,0.10335954372966528
Ankit Shah,Breakers,0.4,9,30,3,12,1,0,1,5,1,7,0,0,0,2,16,0.394,0.533,10,33,0.41690931325468134,6.543952375253974,0.3731123106336182,105.9169264026638,-0.469434832756632,-0.09632252212301379,1.4574623803009574,1.3611398581779437,0.10273018804688214
Cesar Oseguera,Breakers,0.35,8,20,4,7,0,0,0,2,3,6,1,1,0,0,7,0.458,0.35,7,24,0.42542707184272377,4.99506237925784,0.507178695897581,111.16520003288487,-0.269434832756632,0.23774386314094903,1.059972640218878,1.297716503359827,0.09794339620629122
Jonathan Hernandez,Guapos,0.429,2,7,4,3,2,0,0,1,0,0,0,0,0,0,5,0.429,0.714,1,7,0.5269260382369694,2.276511449755087,0.9675453754416782,173.7044635392997,-0.04267589388696655,0.9248694815547116,0.3091586867305061,1.2340281682852177,0.09313660533957918
Danny Torres,Guapos,0.389,5,18,6,7,0,0,0,1,2,1,0,1,0,0,7,0.45,0.389,7,20,0.4255411471102617,4.165183907385951,0.4252808379190688,111.23548826802222,-0.18408304498269895,0.24119779293636984,0.8833105335157319,1.1245083264521016,0.08487074354824081
Omar Morales,Breakers,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.0,0,2,0.8485736709168155,1.3925316494473567,1.0185413425006684,371.8897926218219,-0.0853517877739331,0.9331895547267353,0.08833105335157318,1.0215206080783084,0.07709788493162392
Ricky Ramirez,Breakers,0.308,5,13,3,4,1,0,0,1,1,1,2,1,0,0,5,0.437,0.385,3,16,0.4265043116728651,3.349924697712658,0.35800224213915244,111.828948522058,-0.05605536332179928,0.30194687881735316,0.7066484268125854,1.0085953056299386,0.07612236522796811
Kevin Logan,Guapos,0.286,7,28,9,8,1,1,1,10,3,2,0,5,0,1,14,0.344,0.5,5,32,0.3775683974055608,4.893383992826054,-1.0904609183209577,81.67675933224004,0.6585928489042676,-0.4318680694166901,1.4132968536251709,0.9814287842084808,0.07407200880247788
Nick Salerno,Guapos,0.333,1,3,2,1,0,0,0,2,1,2,1,0,0,0,1,0.6,0.333,1,5,0.5344315484039871,1.6693710622587927,0.7343952948920722,178.3290335695203,-0.12802768166089964,0.6063676132311726,0.22082763337893296,0.8271952466101056,0.06243144135790483
Joel Biery,Cardinals,0.5,1,2,1,1,1,0,0,2,0,1,0,0,0,0,2,0.5,1.0,0,2,0.6789378269147468,1.001150789629634,0.627160482682946,267.367538602298,0.0,0.627160482682946,0.08833105335157318,0.7154915360345192,0.05400075502981091
