Name,Team,WAR_off,WAR_RA9,WAR
Eduardo Malacara,Cardinals,-0.0577865976640335,-0.081774500811402,-0.1395610984754355
Reid McCann,Mariners,-0.1466698485333556,,-0.1466698485333556
Released Player CH,Mariners,-0.1541221377938789,,-0.1541221377938789
Victor DeLeon,Breakers,-0.1605592335497424,,-0.1605592335497424
Brett Klasko,Legends,-0.2983192042156579,0.1220452110777588,-0.1762739931378991
Ethan Young,Mariners,-0.1879070057199644,,-0.1879070057199644
Kevin Adams,Mariners,-0.1902890429898276,,-0.1902890429898276
Albert Esquivel,Cardinals,-0.2247829269696394,,-0.2247829269696394
Max Yourist,Cardinals,-0.0709663778468627,-0.1673484676027505,-0.23831484544961318
Chris Dominiak,Hard Knocks,-0.2530583519111055,,-0.2530583519111055
Christian LeClaire,Legends,-0.245186087422826,-0.0157064920894708,-0.2608925795122968
Zach Brandt,Guapos,-0.2577039431428702,-0.0099192169349609,-0.2676231600778311
Kenji Corbisiero,Mariners,-0.0254762898077614,-0.2458852670579909,-0.2713615568657523
Alex Acuna,Guapos,-0.0896999832276584,-0.1953768254983478,-0.2850768087260062
Lewis Carter,Cardinals,-0.2871678568678405,,-0.2871678568678405
Fernando Hernandez,Guapos,-0.1021036203773695,-0.22852167740815,-0.3306252977855195
Devin Dhaliwal,Mariners,-0.0469767514299911,-0.2884465180577157,-0.3354232694877068
Samuel Prasse,Guapos,0.0002298245143799,-0.3358360672414232,-0.33560624272704326
Christopher Galarza-Gomez,Hard Knocks,-0.3475987626150439,,-0.3475987626150439
Isaac Harris,Cardinals,-0.4150719699594671,,-0.4150719699594671
Aaron Preski,Guapos,-0.3187817461425015,-0.1378602406694765,-0.456641986811978
Alex Rangel,Breakers,-0.1954702153933953,-0.2623688396596764,-0.45783905505307165
Eric Craig,Breakers,-0.5164665742831102,,-0.5164665742831102
David Odud,Guapos,-0.5469846300773901,,-0.5469846300773901
Matthew Berezuk,Breakers,-0.7519829945502385,,-0.7519829945502385
