,Name,Team,WAR_off,WAR_RA9,WAR
57,Josh Cimino,Legends,-0.02439403373528951,0.1325525828706041,0.10815854913531459
80,Ricky Ramirez,Coyotes,0.10010184991029994,,0.10010184991029994
77,Pool Players,Coyotes,0.09711920584805314,,0.09711920584805314
28,David Odud,Guapos,-0.05466062131983977,0.14613377873220393,0.09147315741236416
59,Kasim Hussain,Legends,0.09041833463171496,,0.09041833463171496
29,David Vaks,Guapos,0.08516677430496723,,0.08516677430496723
63,Kyle Aube,Legends,0.20653279184531734,-0.14039542147699127,0.06613737036832606
67,Malcolm Smith,Hard Knocks,0.06476190339564286,,0.06476190339564286
81,Robert Reeves,Guapos,0.06414490966019419,,0.06414490966019419
74,Navari Julius,Coyotes,0.05028746721383365,,0.05028746721383365
21,Christopher Galarza-Gomez,Hard Knocks,0.0481703269289139,,0.0481703269289139
89,Will Pawlosky,Legends,-0.022553022431770448,0.07041150854773993,0.04785848611596949
0,Aaron Preski,Guapos,0.04546207496927186,,0.04546207496927186
55,Joseph Cordova,Hard Knocks,0.04347730225882328,,0.04347730225882328
14,Bobby Hitt,Coyotes,0.03057464723880202,,0.03057464723880202
56,Josh Cardenas,Legends,0.025143733606916824,,0.025143733606916824
23,Conor Fahey,Legends,0.025143733606916824,,0.025143733606916824
83,Samuel Prasse,Guapos,-0.12852253832056815,0.15004109156042583,0.021518553239857685
72,Mike Kijanski,Coyotes,0.002590711175146368,,0.002590711175146368
31,Deandrey Carter,Coyotes,,,0.0
15,Brandon Kaufman,Hard Knocks,,,0.0
37,Ethan Hale,Legends,-0.00702243365381185,,-0.00702243365381185
86,TJ Carter,Coyotes,,-0.015115084759547663,-0.015115084759547663
65,Kyle Ramirez,Coyotes,,-0.030978638118981258,-0.030978638118981258
10,Andrew Benn,Coyotes,-0.0318944397772316,,-0.0318944397772316
13,Austin Wilson,Coyotes,-0.03537047137932413,,-0.03537047137932413
84,Silverio Moreno,Legends,0.06888940976476034,-0.10814646981435463,-0.0392570600495943
68,Matthew Berezuk,Coyotes,-0.0423134902816648,,-0.0423134902816648
42,Gil Rodriguez,Guapos,-0.06017674102419246,,-0.06017674102419246
35,Eric Chavez,Coyotes,-0.06765906729531135,,-0.06765906729531135
79,Released Player JC,Coyotes,-0.06765906729531135,,-0.06765906729531135
78,Pool Players,Legends,-0.06765906729531135,,-0.06765906729531135
85,Steven Ferguson,Legends,-0.07751993664640419,,-0.07751993664640419
61,Kenny Lutz,Coyotes,-0.08687167868030814,,-0.08687167868030814
12,Ankit Shah,Coyotes,-0.08789310603543249,,-0.08789310603543249
2,Alex Acuna,Guapos,-0.08795256482012806,,-0.08795256482012806
47,James Hernandez,Coyotes,-0.09021208972708179,,-0.09021208972708179
1,Adrian Rangel,Coyotes,-0.022553022431770448,-0.10485462642598284,-0.1274076488577533
7,Alex Van Horn,Hard Knocks,-0.0318944397772316,-0.10838382830600726,-0.14027826808323887
87,Valente Gutierrez,Hard Knocks,-0.17397784922312476,,-0.17397784922312476
82,Robert Reeves III,Guapos,-0.19096369126510387,,-0.19096369126510387
91,Yuyi Contreras,Hard Knocks,-0.24491159108665853,0.00823068142940622,-0.2366809096572523
88,Will Greene,Hard Knocks,-0.24869056199906817,,-0.24869056199906817
9,Andre Fuller,Coyotes,-0.017061693254562322,-0.23501509546285668,-0.252076788717419
4,Alex Oppenheimer,Legends,-0.2553845759926759,,-0.2553845759926759
36,Eric Craig,Coyotes,-0.28553910036997593,,-0.28553910036997593
34,Eric Carrero,Hard Knocks,-0.06568934964267784,-0.245739526277438,-0.3114288759201158
20,Christian Carter,Coyotes,-0.32249302021510096,,-0.32249302021510096
90,Willie Barcena,Hard Knocks,-0.11017440098370586,-0.2317657840734764,-0.34194018505718227
48,Jamil Mamdani,Hard Knocks,-0.2615846590901045,-0.12774209261722191,-0.3893267517073264
92,Zach Brandt,Guapos,0.1357829150786927,-0.6968667077252133,-0.5610837926465206
5,Alex Rangel,Coyotes,-0.10389905956588755,-0.5276790772649732,-0.6315781368308607
44,Ian Neal,Legends,-0.28541715808757673,-0.37204540476576525,-0.6574625628533419
53,Johnny Silva,Guapos,-0.3256938132478291,-0.916291466771142,-1.2419852800189712
