,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
14,Kasim Hussain,Legends,0.211,9.0,19.0,3.0,4.0,3.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,7.0,0.348,0.368,1.0,23.0,0.3566079910101088,3.547177741470071,0.2956599617649539,108.85254180149965,-0.12883435582822086,0.16682560593673304,0.9300663129973475,1.0968919189340807,0.09041833463171496
1,David Vaks,Guapos,0.364,4.0,11.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.417,0.364,4.0,12.0,0.38592702631896736,2.1732100919500756,0.47676603297349307,127.82150513331199,0.07116564417177915,0.5479316771452722,0.4852519893899205,1.0331836665351928,0.08516677430496723
20,Silverio Moreno,Legends,0.125,6.0,16.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,7.0,0.3,0.437,0.0,20.0,0.34967724603663897,2.957439012379865,0.1300322474188934,104.36845677349842,-0.10306748466257669,0.02696476275631672,0.8087533156498674,0.8357180784061842,0.06888940976476034
16,Malcolm Smith,Hard Knocks,0.143,6.0,21.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,7.0,0.28,0.333,1.0,25.0,0.3034661657601412,2.637797228952439,-0.8964612272487748,74.4706010611902,0.6711656441717792,-0.2252955830769956,1.0109416445623343,0.7856460614853387,0.06476190339564286
5,Robert Reeves,Guapos,0.306,13.0,49.0,8.0,15.0,2.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,17.0,0.32,0.347,13.0,50.0,0.3189557240240062,5.985530945142927,-1.0829859672595012,84.49210619046879,-0.16073619631901842,-1.2437221635785196,2.0218832891246685,0.7781611255461489,0.06414490966019419
0,Navari Julius,Coyotes,0.5,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,2.0,4.0,0.4789036192655611,1.0653167698658386,0.49983541687364424,187.9759257594196,-0.051533742331288344,0.4483016745423559,0.1617506631299735,0.6100523376723295,0.05028746721383365
10,Christopher Galarza-Gomez,Hard Knocks,0.3,13.0,40.0,7.0,12.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,12.0,0.349,0.3,12.0,43.0,0.32310169645308895,5.310976657798994,-0.7679478868670943,87.17448636271865,-0.38650306748466257,-1.154450954351757,1.738819628647215,0.5843686742954581,0.0481703269289139
6,Aaron Preski,Guapos,0.283,15.0,53.0,5.0,15.0,2.0,0.0,0.0,5.0,3.0,18.0,0.0,1.0,0.0,0.0,17.0,0.321,0.321,13.0,56.0,0.31334958793940265,6.41601365473722,-1.5007252871535002,80.86502266941366,-0.21226993865030674,-1.712995225803807,2.264509283819629,0.551514058015822,0.04546207496927186
8,Joseph Cordova,Hard Knocks,0.333,3.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.4,0.333,3.0,10.0,0.36725301893352164,1.6398303946781505,0.226127012197665,115.73971057148731,-0.10306748466257669,0.12305952753508832,0.4043766578249337,0.527436185360022,0.04347730225882328
15,Bobby Hitt,Coyotes,0.143,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.25,0.143,1.0,8.0,0.21971282502928025,0.2299053319938229,-0.9010573739905656,20.283482266034397,0.9484662576687116,0.047408883678146,0.323501326259947,0.370910209938093,0.03057464723880202
